"","date","Amazon"
"1105","2009-10-09",55
"1106","2009-10-10",57
"1107","2009-10-11",63
"1108","2009-10-12",59
"1109","2009-10-13",56
"1110","2009-10-14",56
"1111","2009-10-15",55
"1112","2009-10-16",55
"1113","2009-10-17",58
"1114","2009-10-18",63
"1115","2009-10-19",58
"1116","2009-10-20",57
"1117","2009-10-21",57
"1118","2009-10-22",56
"1119","2009-10-23",56
"1120","2009-10-24",61
"1121","2009-10-25",65
"1122","2009-10-26",58
"1123","2009-10-27",58
"1124","2009-10-28",57
"1125","2009-10-29",56
"1126","2009-10-30",55
"1127","2009-10-31",57
"1128","2009-11-01",68
"1129","2009-11-02",62
"1130","2009-11-03",60
"1131","2009-11-04",59
"1132","2009-11-05",59
"1133","2009-11-06",59
"1134","2009-11-07",64
"1135","2009-11-08",70
"1136","2009-11-09",64
"1137","2009-11-10",64
"1138","2009-11-11",64
"1139","2009-11-12",63
"1140","2009-11-13",63
"1141","2009-11-14",69
"1142","2009-11-15",76
"1143","2009-11-16",69
"1144","2009-11-17",67
"1145","2009-11-18",67
"1146","2009-11-19",65
"1147","2009-11-20",66
"1148","2009-11-21",74
"1149","2009-11-22",82
