date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
11/8/15,56,55,47,82,54,74,71,768.820007
11/9/15,53,37,46,97,100,50,82,761
11/10/15,50,44,43,86,53,25,81,757.77002
11/11/15,51,50,48,100,31,18,81,766
11/12/15,49,47,50,98,46,80,84,771.219971
11/13/15,49,55,51,92,35,100,80,770.599976
11/14/15,49,57,48,89,33,26,67,766.340027
11/15/15,56,48,49,100,7,61,69,760.590027
11/16/15,51,54,51,87,28,37,82,771.400024
11/17/15,51,33,57,78,23,61,82,772.130005
11/18/15,52,100,100,68,30,22,80,765.150024
11/19/15,53,63,80,81,24,41,83,749.869995
11/20/15,53,92,69,93,42,39,80,753.669983
11/21/15,58,45,56,63,88,87,69,757.179993
11/22/15,65,42,51,79,54,35,70,780.450012
11/23/15,64,39,53,68,35,63,80,795.98999
11/24/15,61,43,44,75,53,89,81,796.919983
11/25/15,63,32,85,90,25,0,80,795.900024
11/26/15,70,22,90,81,14,31,81,799.02002
11/27/15,100,21,76,78,16,39,83,813.640015
11/28/15,77,31,71,96,8,27,74,817.140015
11/29/15,77,27,63,73,21,14,74,809.719971
11/30/15,87,22,68,77,21,40,88,807.47998
12/1/15,72,32,65,79,4,14,85,809.039978
12/2/15,65,21,66,68,9,61,83,808.330017
12/3/15,63,32,73,63,32,44,85,817.880005
12/4/15,60,18,60,70,16,38,83,822.440002
12/5/15,66,18,61,82,12,26,76,836.52002
12/6/15,72,22,60,81,8,65,74,839.150024
12/7/15,67,27,59,81,20,52,83,835.77002
12/8/15,68,19,55,72,4,40,85,830.380005
12/9/15,67,23,60,74,14,46,85,823.47998
12/10/15,65,21,66,67,14,30,83,832.349976
12/11/15,63,25,60,79,12,39,84,839.950012
12/12/15,69,26,55,81,12,39,74,810.200012
12/13/15,73,21,54,77,8,0,72,807.640015
12/14/15,69,27,57,100,17,0,84,812.5
12/15/15,70,23,54,77,29,67,87,819.710022
12/16/15,67,18,64,94,23,44,86,821.359985
12/17/15,65,29,65,88,14,29,84,827.460022
12/18/15,66,18,57,80,24,25,82,836.530029
12/19/15,68,25,55,70,24,39,75,836.390015
