date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
1/20/10,85,0,0,63,0,98,94,52,54,69,62,38.75
1/21/10,85,0,20,36,0,32,93,65,58,55,50,39.09
1/22/10,85,0,0,83,0,32,85,73,58,75,76,38.939999
1/23/10,96,24,21,18,0,0,77,85,69,92,87,39.68
1/24/10,96,25,0,37,0,34,75,82,78,34,79,39.98
1/25/10,88,26,0,53,0,0,97,60,60,65,59,40.169998
1/26/10,85,36,31,36,0,48,92,62,60,65,62,40.09
1/27/10,87,0,30,18,75,71,88,54,57,60,77,39.490002
1/28/10,83,0,0,77,0,0,89,59,52,33,56,38.200001
1/29/10,84,24,0,12,0,0,89,63,58,52,60,38.720001
1/30/10,88,0,0,31,27,0,82,74,76,63,89,39.82
1/31/10,98,25,0,25,27,0,71,75,94,62,85,39.049999
2/1/10,87,0,22,39,28,35,93,55,63,64,77,39.830002
2/2/10,84,0,0,46,0,0,88,53,61,80,74,40.439999
2/3/10,84,37,0,27,39,50,90,63,63,75,55,41
2/4/10,84,0,0,54,26,33,94,52,55,65,61,40.049999
2/5/10,83,24,0,36,0,32,89,64,56,69,69,40.009998
2/6/10,86,0,0,18,0,0,75,81,77,77,76,38.950001
2/7/10,92,0,21,37,0,33,67,87,78,49,82,39.389999
2/8/10,87,26,22,32,0,0,93,56,67,86,57,39.52
2/9/10,86,35,0,35,38,0,87,55,60,59,62,38.93
2/10/10,85,0,0,35,0,0,91,62,56,59,62,42.25
2/11/10,84,0,20,36,0,64,88,53,57,72,51,44.630001
2/12/10,84,0,0,36,0,0,81,63,59,59,63,44.82
2/13/10,87,26,0,38,0,34,70,70,64,58,65,44.970001
2/14/10,94,0,0,18,26,32,73,88,75,44,100,44.290001
2/15/10,87,0,0,51,28,34,87,57,63,40,69,44.52
2/16/10,86,0,0,34,0,92,95,57,58,61,49,42.139999
2/17/10,87,0,0,34,0,0,91,52,63,39,64,41.77
2/18/10,83,46,0,17,0,62,81,54,52,28,60,41.049999
2/19/10,83,22,0,28,0,30,88,54,54,92,65,42.32
2/20/10,89,23,0,63,0,0,67,74,67,42,76,41.84
2/21/10,97,0,0,29,25,32,71,66,76,89,72,41.639999
2/22/10,89,0,0,31,27,0,92,51,59,58,63,42.299999
2/23/10,88,34,0,59,0,46,90,51,52,63,59,42.599998
2/24/10,87,100,0,17,0,0,87,52,51,27,62,44.549999
2/25/10,85,0,19,28,0,30,99,53,47,59,59,44.580002
2/26/10,84,0,0,50,24,0,88,52,54,51,47,43.959999
2/27/10,88,0,0,22,0,0,68,69,66,62,65,42.360001
2/28/10,90,0,0,34,0,0,68,69,70,27,71,41.16
3/1/10,85,0,0,31,0,33,78,60,60,69,48,40.380001
3/2/10,89,33,28,25,0,45,87,50,59,69,61,40.939999
3/3/10,86,0,0,40,0,44,90,49,53,27,59,41.34
3/4/10,87,24,0,24,0,32,90,56,63,54,55,42.310001
3/5/10,85,0,0,16,0,0,90,67,56,63,67,42.220001
3/6/10,88,0,0,28,0,30,63,68,61,62,64,43.220001
3/7/10,93,0,96,50,24,30,71,77,69,75,74,42.48
3/8/10,87,0,92,30,26,0,89,52,62,48,58,41.880001
3/9/10,85,0,27,32,0,0,85,55,51,64,69,35.75
3/10/10,87,0,39,46,0,0,82,53,58,64,55,35.720001
3/11/10,87,22,100,53,0,0,84,56,50,49,70,35.689999
3/12/10,82,42,45,42,0,28,81,51,61,50,62,36.299999
3/13/10,90,65,19,38,47,29,67,76,58,34,68,35.889999
3/14/10,95,0,19,11,0,30,66,72,72,40,72,35.779999
3/15/10,87,23,30,29,0,0,87,45,58,84,47,35.779999
3/16/10,85,0,54,23,0,85,83,49,53,48,64,36.029999
3/17/10,88,61,26,38,0,0,85,54,54,70,59,36.139999
3/18/10,86,22,18,38,0,29,92,42,52,38,60,35.66
3/19/10,84,0,0,21,0,28,82,52,54,69,51,35.689999
3/20/10,91,21,0,38,0,0,67,76,68,63,95,35.310001
3/21/10,96,0,19,27,24,0,66,70,68,48,77,34.720001
3/22/10,85,70,20,35,0,32,90,55,71,95,45,34.139999
3/23/10,86,62,26,15,100,41,85,63,55,68,52,34.689999
3/24/10,85,0,0,30,0,40,88,63,53,59,55,34.990002
3/25/10,83,0,18,21,0,0,87,47,52,44,67,35.18
3/26/10,85,0,0,26,0,0,77,59,49,52,64,35.389999
3/27/10,89,0,0,47,0,0,75,62,74,50,84,35.5
3/28/10,95,0,18,43,23,29,67,68,73,56,69,35.650002
3/29/10,87,23,39,34,25,0,84,55,59,37,64,35.849998
3/30/10,91,60,26,30,33,41,88,58,55,38,58,36.32
3/31/10,91,30,0,52,0,40,91,49,60,39,57,35.830002
1/1/11,90,35,2,67,46,71,85,100,86,83,80,35.400002
1/2/11,89,35,2,40,46,71,84,84,100,73,74,34.91
1/3/11,94,0,2,26,46,36,68,70,82,100,71,34.75
1/4/11,100,0,1,43,49,0,72,56,73,86,73,34.599998
1/5/11,58,49,1,37,65,0,96,65,69,67,71,34.18
1/6/11,57,48,0,36,0,98,97,62,67,82,68,33.869999
1/7/11,57,0,1,79,44,0,100,68,68,69,76,33.970001
1/8/11,56,34,1,90,0,35,92,75,71,85,71,34.16
1/9/11,56,0,2,39,45,35,97,67,83,58,92,33.669998
1/10/11,57,0,2,53,69,36,70,52,71,53,70,33.150002
1/11/11,62,0,1,44,100,0,68,61,68,60,72,33.18
1/12/11,57,0,0,19,0,52,95,60,69,78,69,32.880001
1/13/11,58,0,1,0,0,0,96,52,60,68,75,33.389999
1/14/11,56,0,0,13,0,35,90,67,65,61,72,33.43
1/15/11,56,0,1,25,44,69,92,83,82,85,85,34.32
1/16/11,56,68,2,13,0,68,94,74,84,72,87,34.27
1/17/11,61,70,1,39,0,35,80,56,67,63,75,34.009998
1/18/11,64,37,1,28,0,37,73,66,59,83,74,35
1/19/11,59,0,2,37,0,0,90,62,65,75,62,35.279999
1/20/11,58,0,1,70,0,0,94,52,58,63,67,34.82
1/21/11,56,0,2,49,0,0,91,58,58,51,72,34.900002
1/22/11,57,33,3,37,0,33,96,76,75,51,88,34.599998
1/23/11,56,0,1,13,0,0,80,85,72,46,89,34.599998
1/24/11,58,0,1,39,44,0,75,58,62,68,73,34.630001
1/25/11,64,0,1,41,47,0,71,54,60,59,67,34.299999
1/26/11,58,0,0,53,0,48,98,52,56,52,63,33.970001
1/27/11,58,0,1,17,0,0,88,62,58,79,64,33.02
1/28/11,58,0,2,87,0,33,88,59,56,77,73,33
1/29/11,59,33,1,50,0,0,88,83,65,69,84,32.779999
1/30/11,59,0,2,26,0,35,84,79,72,52,100,33.25
1/31/11,61,0,2,14,0,0,73,53,55,65,78,33.73
2/1/11,67,0,3,28,0,38,62,57,59,49,66,33.040001
2/2/11,60,0,1,89,0,0,82,57,53,76,68,33.529999
2/3/11,59,0,0,51,0,45,85,51,55,77,61,32.709999
2/4/11,57,0,1,24,0,0,84,67,63,54,67,31.719999
2/5/11,62,33,2,25,0,0,87,75,71,63,93,32.52
2/6/11,62,0,1,86,42,33,85,72,77,56,93,32.360001
